"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"11",438853082,37,"De 35 a 44 años","Mujer","Media incompleta (10° y 11°)","Obrero","Casa","NS/NR","Arrendatario(a)","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá"
"12",440141907,44,"De 35 a 44 años","Mujer","Universitario completo","Empleado de empresa particular","Cuarto(s) en inquilinato","$2.000.001 - $2.500.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"13",438747370,38,"De 35 a 44 años","Hombre","Secundaria completa","Trabajador independiente","Apartamento","NS/NR","Propietario(a)","Permanecerá igual","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Se mantendrá","Disminuirá","Se mantendrá"
"14",443470297,22,"De 18 a 24 años","Hombre","Universitario incompleto",NA,"Cuarto(s) en otro tipo de vivienda","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Aumentará","Disminuirá","Aumentará"
"15",440141941,30,"De 25 a 34 años","Hombre","Media incompleta (10° y 11°)","Empleado de empresa particular","Apartamento","$2.500.001 - $3.500.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"16",439230087,50,"De 45 a 54 años","Hombre","Técnico/Tecnológico completa","Trabajador independiente","Casa","$2.000.001 - $2.500.000","Propietario(a)","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Aumentará","Aumentará","Aumentará"
"17",438335194,43,"De 35 a 44 años","Mujer","Técnico/Tecnológico incompleta","Trabajador independiente","Apartamento","NS/NR","Propietario(a)","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"18",443462643,41,"De 35 a 44 años","Mujer","Universitario completo","Empleado de empresa particular","Casa","NS/NR","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Aumentará","Se mantendrá"
"19",438850837,35,"De 35 a 44 años","Mujer","Media completa (10° y 11°)","Trabajador independiente","Apartamento","NS/NR","Propietario(a)","Aumentará","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"20",440142453,33,"De 25 a 34 años","Hombre","Secundaria incompleta","Conductor/mensajero","Casa","$4.900.001 - $6.800.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Disminuirá","Disminuirá","Aumentará","Aumentará"
"21",438341439,63,"De 55 a 64 años","Mujer","Secundaria completa",NA,"Apartamento","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá"
"22",438342760,32,"De 25 a 34 años","Mujer","Técnico/Tecnológico completa","Empleado de empresa particular","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Aumentará"
"23",439701746,55,"De 55 a 64 años","Hombre","Media completa (10° y 11°)","Vendedor informal","Apartamento","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará"
"24",437956762,30,"De 25 a 34 años","Mujer","Media completa (10° y 11°)",NA,"Apartamento","$400.001 - $800.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará"
"25",438287237,58,"De 55 a 64 años","Hombre","Secundaria incompleta","independientes no profesionales","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Disminuirá","Aumentará","Aumentará"
"26",439221658,67,"Mas de 65 años","Mujer","Primaria completa",NA,"Casa","$3.500.001 - $4.900.000","Propietario(a)","Permanecerá igual","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá"
"27",438341665,32,"De 25 a 34 años","Mujer","Posgrado completo","Empleado de empresa particular","Casa","$1.500.001 - $2.000.000","Arrendatario(a)","Permanecerá igual","Aumentará","Se mantendrá","Aumentará","Aumentará","Disminuirá","Aumentará","Disminuirá","Disminuirá"
"28",438359603,54,"De 45 a 54 años","Hombre","Primaria completa","Empleado de empresa particular","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Disminuirá","Disminuirá","Se mantendrá"
"29",438589663,43,"De 35 a 44 años","Hombre","Técnico/Tecnológico completa","Empleado de empresa particular","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Permanecerá igual","Disminuirá","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará","Disminuirá","Se mantendrá"
"30",438333453,38,"De 35 a 44 años","Hombre","Media completa (10° y 11°)","Empleado de empresa particular","Apartamento","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará"
"31",438341710,54,"De 45 a 54 años","Mujer","Media completa (10° y 11°)","independientes no profesionales","Apartamento","$400.001 - $800.000","Arrendatario(a)","Permanecerá igual","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Se mantendrá","Aumentará"
"32",438291229,76,"Mas de 65 años","Mujer","Secundaria completa",NA,"Casa","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá"
"33",439662376,70,"Mas de 65 años","Hombre","Media completa (10° y 11°)","Trabajador independiente","Casa","$400.001 - $800.000","Arrendatario(a)","Disminuirá","Aumentará","Aumentará","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"34",439691169,63,"De 55 a 64 años","Hombre","Secundaria completa",NA,"Casa","$2.000.001 - $2.500.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Disminuirá","Aumentará","Aumentará","Aumentará"
"35",437970411,29,"De 25 a 34 años","Hombre","Secundaria completa","independientes no profesionales","Casa","NS/NR","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Aumentará"
"36",440144194,35,"De 35 a 44 años","Hombre","Universitario completo","Empleado de empresa particular","Casa","$3.500.001 - $4.900.000","Arrendatario(a)","Disminuirá","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará"
"37",438599828,42,"De 35 a 44 años","Hombre","Primaria incompleta","Vendedor informal","Casa","$1.500.001 - $2.000.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Disminuirá","Disminuirá","Disminuirá"
"38",438327418,62,"De 55 a 64 años","Hombre","Secundaria completa",NA,"Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Disminuirá","Disminuirá","Se mantendrá","Disminuirá","Disminuirá","Disminuirá","Aumentará","Disminuirá","Disminuirá"
"39",438597190,26,"De 25 a 34 años","Hombre","Universitario completo",NA,"Apartamento","$2.500.001 - $3.500.000","Arrendatario(a)","Aumentará","Disminuirá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Aumentará","Disminuirá","Aumentará"
"40",439669176,63,"De 55 a 64 años","Mujer","Media completa (10° y 11°)",NA,"Casa","$0 - $400.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Aumentará","Disminuirá"
"41",443461230,63,"De 55 a 64 años","Hombre","Secundaria completa","Trabajador independiente","Cuarto(s) en inquilinato","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Se mantendrá","Se mantendrá","Aumentará"
"42",439228760,78,"Mas de 65 años","Mujer","Media completa (10° y 11°)","Trabajador independiente","Apartamento","NS/NR","Propietario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"43",439691400,82,"Mas de 65 años","Mujer","Primaria incompleta",NA,"Casa","$0 - $400.000","Propietario(a)","Permanecerá igual","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará"
"44",443458942,20,"De 18 a 24 años","Mujer","Media completa (10° y 11°)","Empleado de empresa particular","Cuarto(s) en inquilinato","NS/NR","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Aumentará","Disminuirá","Se mantendrá"
"45",440141931,60,"De 55 a 64 años","Mujer","Primaria completa","independientes no profesionales","Casa","$800.001 - $1.160.000","Arrendatario(a)","Permanecerá igual","Aumentará","Se mantendrá","Aumentará","Aumentará","Disminuirá","Se mantendrá","Aumentará","Disminuirá"
"46",440550937,50,"De 45 a 54 años","Hombre","Primaria completa","Trabajador independiente","Casa","$2.500.001 - $3.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Aumentará"
"47",438589574,61,"De 55 a 64 años","Hombre","Primaria completa",NA,"Apartamento","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá"
"48",438589668,54,"De 45 a 54 años","Hombre","Secundaria incompleta","Trabajador independiente","Casa","$800.001 - $1.160.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Disminuirá","Se mantendrá"
"49",438589789,52,"De 45 a 54 años","Hombre","Primaria completa","Empleado de empresa particular","Apartamento","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá"
"50",439680681,37,"De 35 a 44 años","Hombre","Secundaria completa","Trabajador independiente","Casa","NS/NR","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Se mantendrá","Aumentará","Aumentará","Aumentará"
"51",439692944,52,"De 45 a 54 años","Hombre","Media completa (10° y 11°)","Obrero","Apartamento","$3.500.001 - $4.900.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará"
"52",437970148,33,"De 25 a 34 años","Hombre","Media completa (10° y 11°)","Vendedor informal","Cuarto(s) en inquilinato","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Disminuirá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"53",439691420,71,"Mas de 65 años","Hombre","Primaria completa",NA,"Casa","$4.900.001 - $6.800.000","Propietario(a)","Permanecerá igual","Se mantendrá","Disminuirá","Disminuirá","Disminuirá","Se mantendrá","Disminuirá","Se mantendrá","Se mantendrá"
"54",437926133,44,"De 35 a 44 años","Mujer","Universitario completo","Obrero","Apartamento","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Disminuirá","Aumentará"
"55",438206458,32,"De 25 a 34 años","Hombre","Media incompleta (10° y 11°)","Conductor/mensajero","Apartamento","$1.500.001 - $2.000.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá"
"56",438341455,74,"Mas de 65 años","Hombre","Secundaria incompleta",NA,"Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Aumentará"
"57",438343702,49,"De 45 a 54 años","Mujer","Secundaria completa","Trabajador independiente","Casa","$800.001 - $1.160.000","Propietario(a)","Aumentará","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Aumentará"
"58",438586137,67,"Mas de 65 años","Hombre","Primaria completa",NA,"Apartamento","NS/NR","Propietario(a)","Permanecerá igual","Disminuirá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Aumentará","Se mantendrá","Aumentará"
"59",440141914,78,"Mas de 65 años","Hombre","Primaria incompleta",NA,"Casa","$1.500.001 - $2.000.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Aumentará"
"60",438851737,71,"Mas de 65 años","Hombre","Secundaria incompleta","independientes no profesionales","Apartamento","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Aumentará"
"61",439680798,24,"De 18 a 24 años","Hombre","Secundaria completa","Trabajador independiente","Casa","$1.500.001 - $2.000.000","Arrendatario(a)","Permanecerá igual","Aumentará","Se mantendrá","Se mantendrá","Disminuirá","Se mantendrá","Se mantendrá","Aumentará","Aumentará"
"62",437970333,25,"De 25 a 34 años","Mujer","Técnico/Tecnológico completa","Empleado de empresa particular","Apartamento","$3.500.001 - $4.900.000","Arrendatario(a)","Permanecerá igual","Disminuirá","Aumentará","Aumentará","Aumentará","Disminuirá","Se mantendrá","Disminuirá","Aumentará"
"63",438357016,77,"Mas de 65 años","Hombre","Primaria completa",NA,"Casa","$1.160.000 - $1.500.000","Propietario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Disminuirá","Aumentará","Aumentará"
"64",439163438,24,"De 18 a 24 años","Hombre","Secundaria completa","Conductor/mensajero","Casa","$2.500.001 - $3.500.000","Arrendatario(a)","Permanecerá igual","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Disminuirá","Aumentará","Disminuirá","Se mantendrá"
"65",439234376,60,"De 55 a 64 años","Hombre","Universitario completo","Empleado público","Casa","$3.500.001 - $4.900.000","Propietario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Aumentará","Se mantendrá","Aumentará"
"66",439242982,44,"De 35 a 44 años","Hombre","Secundaria completa","Empleado de empresa particular","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará"
"67",439701789,34,"De 25 a 34 años","Mujer","Media completa (10° y 11°)","Trabajador independiente","Casa","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá"
"68",443462666,40,"De 35 a 44 años","Mujer","Secundaria completa","Empleado de empresa particular","Casa","NS/NR","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"69",438327658,25,"De 25 a 34 años","Mujer","Universitario incompleto",NA,"Cuarto(s) en inquilinato","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará","Se mantendrá","Aumentará"
"70",438850823,64,"De 55 a 64 años","Hombre","Secundaria incompleta","Trabajador independiente","Cuarto(s) en inquilinato","NS/NR","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá"
"71",439242994,33,"De 25 a 34 años","Mujer","Posgrado completo","Profesional independiente","Apartamento","$2.000.001 - $2.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Aumentará","Se mantendrá","Se mantendrá"
"72",439636398,78,"Mas de 65 años","Hombre","Universitario completo",NA,"Casa","$0 - $400.000","Arrendatario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"73",440120629,30,"De 25 a 34 años","Hombre","Técnico/Tecnológico completa","Empleado de empresa particular","Cuarto(s) en inquilinato","$1.500.001 - $2.000.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"74",440558912,24,"De 18 a 24 años","Hombre","Universitario completo","Empleado de empresa particular","Apartamento","$6.800.001 - $9.000.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Aumentará","Se mantendrá","Se mantendrá"
"75",438341720,47,"De 45 a 54 años","Mujer","Primaria completa","Empleado doméstico","Casa","$0 - $400.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Aumentará"
"76",438333819,70,"Mas de 65 años","Hombre","Secundaria incompleta",NA,"Casa","$4.900.001 - $6.800.000","Propietario(a)","Permanecerá igual","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Disminuirá","Aumentará","Aumentará"
"77",439212757,40,"De 35 a 44 años","Hombre","Primaria incompleta","independientes no profesionales","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Permanecerá igual","Disminuirá","Aumentará","Se mantendrá","Aumentará","Disminuirá","Aumentará","Se mantendrá","Se mantendrá"
"78",438589537,69,"Mas de 65 años","Mujer","Secundaria completa",NA,"Apartamento","$2.000.001 - $2.500.000","Propietario(a)","Aumentará","Disminuirá","Disminuirá","Aumentará","Disminuirá","Aumentará","Aumentará","Disminuirá","Disminuirá"
"79",440536945,78,"Mas de 65 años","Hombre","Media incompleta (10° y 11°)",NA,"Casa","$0 - $400.000","Propietario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Aumentará"
"80",439669019,47,"De 45 a 54 años","Hombre","Técnico/Tecnológico completa","Trabajador independiente","Apartamento","$2.000.001 - $2.500.000","Propietario(a)","Aumentará","Disminuirá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Aumentará","Aumentará"
"81",439691366,77,"Mas de 65 años","Hombre","Primaria incompleta",NA,"Casa","$0 - $400.000","Propietario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Aumentará","Disminuirá","Se mantendrá","Disminuirá"
"82",440145367,56,"De 55 a 64 años","Hombre","Primaria completa",NA,"Casa","$1.160.000 - $1.500.000","Propietario(a)","Permanecerá igual","Disminuirá","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá","Disminuirá"
"83",440506737,56,"De 55 a 64 años","Mujer","Media completa (10° y 11°)","Trabajador sin remuneración","Casa","$2.500.001 - $3.500.000","Propietario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Se mantendrá","Aumentará","Se mantendrá"
"84",438168226,69,"Mas de 65 años","Hombre","Primaria completa","Empleado de empresa particular","Casa","NS/NR","Propietario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Aumentará","Se mantendrá"
"85",438585892,20,"De 18 a 24 años","Hombre","Media completa (10° y 11°)","Empleado de empresa particular","Casa","$1.500.001 - $2.000.000","Arrendatario(a)","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá"
"86",438816359,49,"De 45 a 54 años","Mujer","Técnico/Tecnológico completa","Trabajador independiente","Apartamento","$1.500.001 - $2.000.000","Arrendatario(a)","Permanecerá igual","Disminuirá","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Disminuirá","Se mantendrá"
"87",439221326,57,"De 55 a 64 años","Hombre","Secundaria incompleta","Trabajador independiente","Casa","NS/NR","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Aumentará"
"88",439221599,54,"De 45 a 54 años","Hombre","Secundaria completa","Obrero","Casa","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Se mantendrá","Disminuirá","Aumentará","Aumentará","Se mantendrá","Aumentará"
"89",439692933,48,"De 45 a 54 años","Hombre","Primaria completa","Empleado de empresa particular","Apartamento","$3.500.001 - $4.900.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Disminuirá","Disminuirá","Se mantendrá","Aumentará"
"90",440142467,41,"De 35 a 44 años","Mujer","Técnico/Tecnológico incompleta","Trabajador independiente","Casa","$2.000.001 - $2.500.000","Arrendatario(a)","Permanecerá igual","Aumentará","Aumentará","Aumentará","Disminuirá","Se mantendrá","Aumentará","Disminuirá","Aumentará"
"91",440145353,65,"Mas de 65 años","Mujer","Primaria completa",NA,"Casa","$400.001 - $800.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Se mantendrá","Aumentará","Se mantendrá","Aumentará"
"92",438599817,50,"De 45 a 54 años","Hombre","Media incompleta (10° y 11°)","Empleado público","Casa","$3.500.001 - $4.900.000","Propietario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Disminuirá","Aumentará","Se mantendrá","Aumentará"
"93",440142433,55,"De 55 a 64 años","Mujer","Secundaria completa",NA,"Casa","NS/NR","Propietario(a)","Aumentará","Disminuirá","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Aumentará"
"94",437926141,55,"De 55 a 64 años","Mujer","Técnico/Tecnológico completa","Trabajador independiente","Casa","$400.001 - $800.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá"
"95",437970371,40,"De 35 a 44 años","Hombre","Técnico/Tecnológico completa","Trabajador independiente","Casa","$2.000.001 - $2.500.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará"
"96",437982488,55,"De 55 a 64 años","Hombre","Universitario completo","Trabajador independiente","Apartamento","$3.500.001 - $4.900.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Aumentará","Aumentará","Disminuirá","Aumentará"
"97",438329770,30,"De 25 a 34 años","Mujer","Secundaria completa","Empleado de empresa particular","Apartamento","$800.001 - $1.160.000","Arrendatario(a)","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Disminuirá","Disminuirá","Aumentará","Se mantendrá","Aumentará"
"98",438335206,30,"De 25 a 34 años","Hombre","Media completa (10° y 11°)","Trabajador independiente","Apartamento","$1.500.001 - $2.000.000","Propietario(a)","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"99",438589585,38,"De 35 a 44 años","Hombre","Técnico/Tecnológico completa","Trabajador independiente","Apartamento","$3.500.001 - $4.900.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará"
"100",438829089,62,"De 55 a 64 años","Hombre","Primaria completa","independientes no profesionales","Apartamento","NS/NR","Propietario(a)","Permanecerá igual","Disminuirá","Disminuirá","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá"
"101",438853142,35,"De 35 a 44 años","Hombre","Técnico/Tecnológico completa","Trabajador independiente","Casa","$2.500.001 - $3.500.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"102",439212624,36,"De 35 a 44 años","Hombre","Universitario completo","Empleado de empresa particular","Cuarto(s) en otro tipo de vivienda","$400.001 - $800.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Disminuirá","Aumentará","Aumentará","Aumentará"
"103",439212690,72,"Mas de 65 años","Mujer","Media completa (10° y 11°)",NA,"Casa","$2.000.001 - $2.500.000","Propietario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará","Disminuirá","Aumentará"
